epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8445,2.39467,6.30487,2.00759,0.60637,0.45148,0.47805,0.20686,1.92785,2.47721,1.53005,0.000220154,0.000220154,0.000220154
2,66.3754,1.66793,1.94784,1.4779,0.79324,0.57056,0.74151,0.42925,1.53858,1.61499,1.39538,0.00043762,0.00043762,0.00043762
3,98.9276,1.51746,1.46403,1.39193,0.77934,0.71798,0.85491,0.4922,1.51139,1.27996,1.39126,0.000650194,0.000650194,0.000650194
4,131.372,1.43443,1.2075,1.34547,0.8509,0.82091,0.86655,0.47798,1.43055,0.88391,1.35867,0.000644989,0.000644989,0.000644989
5,163.622,1.36485,1.09247,1.31411,0.82745,0.89923,0.93202,0.59173,1.27731,0.76137,1.25608,0.000637652,0.000637652,0.000637652
6,195.763,1.30061,0.97108,1.26057,0.87009,0.91841,0.95108,0.58065,1.32907,0.72483,1.25937,0.000630315,0.000630315,0.000630315
7,227.746,1.26794,0.92817,1.23562,0.9009,0.93531,0.96672,0.59369,1.29917,0.72362,1.25535,0.000622978,0.000622978,0.000622978
8,260.074,1.2166,0.84619,1.2099,0.91195,0.91978,0.96987,0.60751,1.28561,0.68765,1.25044,0.000615641,0.000615641,0.000615641
9,292.255,1.19557,0.82438,1.19705,0.9076,0.87473,0.91939,0.5571,1.26583,0.63859,1.22622,0.000608304,0.000608304,0.000608304
10,324.323,1.1821,0.78962,1.18925,0.94579,0.94073,0.97257,0.65455,1.14606,0.55202,1.14751,0.000600967,0.000600967,0.000600967
11,356.296,1.14143,0.75938,1.16577,0.96242,0.88855,0.95719,0.63791,1.13942,0.59905,1.15819,0.00059363,0.00059363,0.00059363
12,388.292,1.11854,0.72934,1.14914,0.95868,0.92714,0.96843,0.64206,1.14403,0.60019,1.14958,0.000586293,0.000586293,0.000586293
13,420.437,1.10446,0.70741,1.14336,0.94945,0.97951,0.98879,0.66667,1.08115,0.49741,1.12891,0.000578956,0.000578956,0.000578956
14,453.087,1.09375,0.70279,1.14182,0.94161,0.94276,0.97967,0.66747,1.04273,0.52949,1.1015,0.000571619,0.000571619,0.000571619
15,485.577,1.0748,0.66886,1.13326,0.93285,0.98242,0.98177,0.62912,1.18147,0.53937,1.16882,0.000564282,0.000564282,0.000564282
16,518.072,1.05855,0.65482,1.12169,0.95407,0.96779,0.98367,0.6823,1.10931,0.49323,1.13242,0.000556945,0.000556945,0.000556945
17,550.38,1.05038,0.66175,1.11188,0.9346,0.97958,0.98224,0.68507,1.05798,0.50611,1.11688,0.000549608,0.000549608,0.000549608
18,582.714,1.04416,0.63883,1.10942,0.96319,0.97739,0.98995,0.68468,1.05161,0.47756,1.11201,0.000542271,0.000542271,0.000542271
19,614.889,1.02025,0.62715,1.09595,0.96484,0.97531,0.99255,0.69857,1.05192,0.46413,1.09684,0.000534934,0.000534934,0.000534934
20,647.146,1.02209,0.61161,1.0947,0.96891,0.95949,0.99074,0.69843,1.01568,0.47039,1.09562,0.000527597,0.000527597,0.000527597
21,679.288,0.99436,0.59149,1.07736,0.97769,0.98139,0.99271,0.67956,1.03386,0.44576,1.09796,0.00052026,0.00052026,0.00052026
22,711.418,0.98754,0.58649,1.0758,0.97077,0.97423,0.98966,0.68436,1.08387,0.45417,1.11356,0.000512923,0.000512923,0.000512923
23,743.636,0.96532,0.57613,1.07051,0.96409,0.97829,0.9868,0.68951,1.00454,0.44389,1.07284,0.000505586,0.000505586,0.000505586
24,775.976,0.9658,0.56825,1.06763,0.95859,0.97498,0.98325,0.69605,1.03861,0.48438,1.09327,0.000498249,0.000498249,0.000498249
25,808.26,0.95423,0.56563,1.06262,0.96353,0.98259,0.98787,0.69644,1.0059,0.43896,1.08807,0.000490912,0.000490912,0.000490912
26,840.441,0.97179,0.55673,1.07462,0.97868,0.96859,0.99111,0.69371,1.03372,0.45484,1.09881,0.000483575,0.000483575,0.000483575
27,872.662,0.94358,0.55259,1.06657,0.94352,0.9767,0.99204,0.7148,0.98936,0.42835,1.06498,0.000476238,0.000476238,0.000476238
28,904.957,0.93318,0.54671,1.05603,0.96339,0.97582,0.98948,0.70457,1.00972,0.42873,1.07297,0.000468901,0.000468901,0.000468901
29,936.936,0.92947,0.55095,1.05022,0.94649,0.95297,0.98334,0.69032,1.03689,0.4596,1.08749,0.000461564,0.000461564,0.000461564
30,969.016,0.90944,0.53541,1.04898,0.96331,0.97066,0.99273,0.69955,1.0191,0.44647,1.07657,0.000454227,0.000454227,0.000454227
31,1001.09,0.91126,0.52677,1.04056,0.97885,0.98023,0.99267,0.71711,0.94723,0.38894,1.05077,0.00044689,0.00044689,0.00044689
32,1033.66,0.88884,0.50123,1.03833,0.96488,0.98369,0.98623,0.71772,0.96821,0.41806,1.06437,0.000439553,0.000439553,0.000439553
33,1065.97,0.88642,0.49001,1.02302,0.97432,0.98798,0.99332,0.73006,0.9658,0.39953,1.05668,0.000432216,0.000432216,0.000432216
34,1098.17,0.88114,0.4969,1.02393,0.97,0.98848,0.98879,0.72887,0.96229,0.39158,1.04786,0.000424879,0.000424879,0.000424879
35,1130.36,0.89345,0.49917,1.037,0.9757,0.97212,0.98786,0.69605,1.02676,0.42359,1.084,0.000417542,0.000417542,0.000417542
36,1162.6,0.85893,0.49138,1.01972,0.95296,0.98669,0.98653,0.75098,0.88156,0.37869,1.01679,0.000410205,0.000410205,0.000410205
37,1194.91,0.83492,0.47816,1.00275,0.97782,0.99009,0.99437,0.74155,0.93517,0.38902,1.04074,0.000402868,0.000402868,0.000402868
38,1227.03,0.84187,0.47721,1.01211,0.97441,0.98746,0.99401,0.73388,0.91535,0.38632,1.03571,0.000395531,0.000395531,0.000395531
39,1259.02,0.84575,0.47687,1.00678,0.97714,0.99366,0.99328,0.72866,0.95301,0.39509,1.04806,0.000388194,0.000388194,0.000388194
40,1291.17,0.80658,0.45522,0.98978,0.97184,0.97201,0.99317,0.72408,0.96609,0.38584,1.05381,0.000380857,0.000380857,0.000380857
41,1323.21,0.83721,0.46984,1.00973,0.98281,0.99266,0.99297,0.71791,0.96397,0.39255,1.05947,0.00037352,0.00037352,0.00037352
42,1355.23,0.82248,0.46743,1.00261,0.96751,0.9906,0.9927,0.72122,0.95831,0.39243,1.06622,0.000366183,0.000366183,0.000366183
43,1387.24,0.80878,0.45324,0.99371,0.98025,0.98221,0.9928,0.73192,0.94514,0.37765,1.05179,0.000358846,0.000358846,0.000358846
44,1419.49,0.79999,0.45213,0.98977,0.96871,0.98606,0.99212,0.75367,0.89606,0.37016,1.01987,0.000351509,0.000351509,0.000351509
45,1452.15,0.80316,0.44939,0.99155,0.9787,0.99214,0.99303,0.72614,0.94744,0.3881,1.04728,0.000344172,0.000344172,0.000344172
46,1484.49,0.79874,0.44523,0.99054,0.97165,0.99074,0.99315,0.7456,0.89411,0.36,1.02218,0.000336835,0.000336835,0.000336835
47,1516.89,0.79691,0.45012,0.98534,0.98515,0.98034,0.99322,0.73209,0.92488,0.3759,1.04014,0.000329498,0.000329498,0.000329498
48,1549.11,0.79063,0.44697,0.98711,0.97765,0.99175,0.99351,0.72679,0.95601,0.38506,1.05252,0.000322161,0.000322161,0.000322161
49,1581.69,0.7675,0.43042,0.97331,0.97623,0.98898,0.9939,0.75995,0.85629,0.35015,1.0101,0.000314824,0.000314824,0.000314824
50,1614.16,0.7553,0.41825,0.97013,0.97762,0.98425,0.99285,0.7504,0.8856,0.3604,1.013,0.000307487,0.000307487,0.000307487
51,1646.5,0.7583,0.4314,0.97125,0.98464,0.99119,0.99427,0.74514,0.88437,0.35519,1.01426,0.00030015,0.00030015,0.00030015
52,1678.89,0.76341,0.41081,0.9753,0.98397,0.99028,0.99439,0.75363,0.87429,0.3486,1.01426,0.000292813,0.000292813,0.000292813
53,1711.12,0.75191,0.41238,0.97256,0.98861,0.99108,0.9948,0.75059,0.87985,0.34665,1.015,0.000285476,0.000285476,0.000285476
54,1743.51,0.73737,0.40238,0.96317,0.97918,0.99339,0.99426,0.73246,0.91881,0.36891,1.0317,0.000278139,0.000278139,0.000278139
